insee,commune,departement,travail_insee,travail_commune,travail_departement,latitude,longitude,emplois,habitants,menages,pers_par_menages,unite_conso_menages,revenu_median,travail_latitude,travail_longitude,travail_emplois,distance_oiseau_km,distance_auto_km,duree_auto_minutes,distance_velo_km,duree_velo_minutes,2009,2014,2009_inter,2014_inter,2009_extra,2014_extra,2009_extra_travail_commune,extra_travail_commune_2014
12263,SAVIGNAC,12,12300,VILLEFRANCHE-DE-ROUERGUE,12,44.35994822,1.95859629,121,691,280,724,475,20451,44.34991602,2.031032876,2096,5.9,10.0,13,7.8,33,313,324,72,85,240,239,176,158
12264,SEBAZAC-CONCOURES,12,12202,RODEZ,12,44.42327833,2.611183508,369,3197,1324,3315,2202,22926,44.35824263,2.567279389,6303,8.0,9.0,15,8.9,47,1462,1540,363,386,1099,1153,559,543
12264,SEBAZAC-CONCOURES,12,12176,ONET-LE-CHATEAU,12,44.42327833,2.611183508,369,3197,1324,3315,2202,22926,44.38255309,2.56000835,2474,6.1,10.7,15,8.2,43,1462,1540,363,386,1099,1153,252,323
12281,TOULONJAC,12,12300,VILLEFRANCHE-DE-ROUERGUE,12,44.38042967,1.998657108,14,738,292,766,506,21231,44.34991602,2.031032876,2096,4.3,5.5,9,5.0,22,301,357,36,76,265,281,178,193
12286,VABRES-L'ABBAYE,12,12208,SAINT-AFFRIQUE,12,43.92134974,2.81975477,122,1170,489,1195,803,19846,43.96566945,2.866531256,1144,6.2,9.7,15,11.0,50,531,582,129,210,403,372,250,210
12287,VAILHOURLES,12,12300,VILLEFRANCHE-DE-ROUERGUE,12,44.30821295,1.909377226,52,690,283,657,447,17673,44.34991602,2.031032876,2096,10.7,17.8,20,13.2,61,279,286,74,43,205,243,104,129
12288,VALADY,12,12202,RODEZ,12,44.44715789,2.442557016,43,1513,613,1548,1024,21172,44.35824263,2.567279389,6303,14.0,16.3,19,18.3,79,720,675,160,120,560,555,228,200
12301,VILLENEUVE,12,12300,VILLEFRANCHE-DE-ROUERGUE,12,44.44705163,2.028531539,240,1954,887,1945,1364,20463,44.34991602,2.031032876,2096,10.8,12.6,17,14.0,59,809,727,357,334,453,393,212,206
12305,VIVIEZ,12,12089,DECAZEVILLE,12,44.55637805,2.220493167,240,1298,660,1300,950,18236,44.567273,2.252438531,989,2.8,4.4,7,3.7,16,560,453,222,132,338,320,141,132
13004,ARLES,13,30189,NIMES,30,43.54686924,4.662156426,6743,52697,23682,54050,37032,17586,43.84493839,4.34806797,22719,41.7,51.9,52,55.9,248,18952,18391,13494,12887,5458,5504,334,300
13004,ARLES,13,30117,FOURQUES,30,43.54686924,4.662156426,6743,52697,23682,54050,37032,17586,43.71165438,4.548843238,310,20.5,24.1,26,28.1,119,18952,18391,13494,12887,5458,5504,122,106
13004,ARLES,13,30032,BEAUCAIRE,30,43.54686924,4.662156426,6743,52697,23682,54050,37032,17586,43.77974295,4.593802969,1719,26.5,30.9,39,35.7,153,18952,0,13494,0,5458,0,123,0
13108,TARASCON,13,30032,BEAUCAIRE,30,43.79398853,4.686148492,1637,14583,5832,14201,9485,15932,43.77974295,4.593802969,1719,7.6,9.5,15,10.4,43,4442,4638,2172,2052,2270,2586,487,348
30002,AIGREMONT,30,30189,NIMES,30,43.96132482,4.117955465,15,727,283,724,478,19080,43.84493839,4.34806797,22719,22.5,28.5,29,27.8,122,272,0,48,0,224,0,104,0
30003,AIGUES-MORTES,30,30133,LE GRAU-DU-ROI,30,43.55072496,4.183498021,828,8417,3876,8819,6066,19395,43.50728109,4.166229487,1207,5.0,9.7,19,9.3,42,3316,3223,1432,1360,1884,1862,572,537
30003,AIGUES-MORTES,30,34172,MONTPELLIER,34,43.55072496,4.183498021,828,8417,3876,8819,6066,19395,43.61344091,3.868516579,38976,26.3,35.9,45,35.1,150,3316,3223,1432,1360,1884,1862,350,326
30003,AIGUES-MORTES,30,34344,LA GRANDE-MOTTE,34,43.55072496,4.183498021,828,8417,3876,8819,6066,19395,43.56853941,4.075832847,1092,8.9,15.2,24,13.8,59,3316,3223,1432,1360,1884,1862,167,151
30003,AIGUES-MORTES,30,30189,NIMES,30,43.55072496,4.183498021,828,8417,3876,8819,6066,19395,43.84493839,4.34806797,22719,35.3,47.9,54,41.9,186,3316,3223,1432,1360,1884,1862,113,120
30004,AIGUES-VIVES,30,34172,MONTPELLIER,34,43.73455792,4.190794461,210,3175,1248,3044,2030,21312,43.61344091,3.868516579,38976,29.2,33.2,33,35.8,161,0,1295,0,321,0,974,0,178
30004,AIGUES-VIVES,30,30189,NIMES,30,43.73455792,4.190794461,210,3175,1248,3044,2030,21312,43.84493839,4.34806797,22719,17.6,28.9,30,21.5,97,1142,1295,275,321,867,974,145,133
