commune;insee;total_personne_entrante;total_personne_partante;Balance;;km_parcourut_entrant;km_parcourut_partant;Balance_des_km_parcourut;total_emissionCO2_km_entrant;CO2_km;emissionCO2_km_sortant;emissionCO2_km_balance_km_total;total_des_revenus_medians_des_communes_entrantes;total_des_revenus_medians_des_communes_entrantes;balance_des_revenus_medians;km_moyen_par_les_partants;km_moyen_par_les_entrants;Balance_deskm_parEnt_Sor;emissionCO2_km_total_km_partant;emissionCO2_km_total_km_entrant;emissionCO2_km_balance;Minute_emi_par_km;total_min_emi;total_min_immi;total_balance_min;taux_emploi;emplois;habitants;menages;pers_par_menages;unite_conso_menages;revenu_median;Nombre_actifs_2015;inter_voiture;extra_voiture;extra_sansvoiture;avec voiture ;sansvoiture;Inter_voiture_ternary;extra_voiture_ternary;sansvoiture_ternary;2015_extra_csp1;2015_extra_csp2;2015_extra_csp3;cadre_extra_ternary;inter_extra_ternary;ouvrier_extra_ternary;2015_inter_csp1;2015_inter_csp2;2015_inter_csp3;cadre_intra_ternary;inter_intra_ternary;ouvrier_intra_ternary;INTRA_CADRE;OUVRIER_INTRA
SAINT-JEAN-DE-VEDAS;34270;3169;1494;1675;;193;8;185;26055;;1080;24975;223383;24177;-199206;186.75;16.41968912;-170.3303109;25211.25;2216.658031;-22994.59197;0.446618281;7.333333333;18.84615385;-11.51282051;43.07155323;3060;8595;3508;9045;6004;24177;3702;602;2281;819;77.87682334;22.12317666;16.26148028;61.61534306;22.12317666;960;906;877;34.99817718;33.02952971;31.97229311;9045;344;359;92.78826426;3.528929011;3.68280673;CADRE_EN_MASSE;FAUX
ARLES;13004;2069;406;1663;;175;107;68;23625;;14445;9180;88390;52758;-35632;3.794392523;11.82285714;8.028464619;512.2429907;1596.085714;1083.842724;1.979217014;23.4;26;-2.6;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
BALMA;31044;4868;3256;1612;;160;84;76;21600;;11340;10260;280347;131870;-148477;38.76190476;30.425;-8.336904762;5232.857143;4107.375;-1125.482143;0.478929452;14.57142857;16.57142857;-2;43.8279261;3761;15319;6610;15371;10490;26374;6714;1100;3755;1859;72.31158773;27.68841227;16.3836759;55.92791183;27.68841227;2059;1555;1293;41.96046464;31.68942327;26.35011208;15371;551;776;92.05294047;3.299796383;4.647263145;CADRE_EN_MASSE;FAUX
MENDE;48095;1721;129;1592;;168;26;142;22680;;3510;19170;230026;20451;-209575;4.961538462;10.24404762;5.282509158;669.8076923;1382.946429;713.1387363;1.073794306;11;17.92307692;-6.923076923;43.42401663;3233;11542;5407;11473;8084;20451;5012;3106;573;1333;73.40383081;26.59616919;61.97126895;11.43256185;26.59616919;114;231;306;17.51152074;35.48387097;47.00460829;11473;1405;2219;75.99523084;9.306484732;14.69828443;CADRE_EN_MASSE;OUVRIER_EN_MASSE
PAMIERS;9225;2793;1205;1588;;299;154;145;40365;;20790;19575;316084;104784;-211300;7.824675325;9.341137124;1.516461799;1056.331169;1261.053512;204.7223429;1.766380236;16.5;17.44444444;-0.944444444;35.03028741;2853;15518;6996;14838;10417;17464;5436;2147;1767;1522;72.00147167;27.99852833;39.49595291;32.50551876;27.99852833;328;566;1140;16.12586037;27.82694199;56.04719764;14838;838;2186;83.0702049;4.691523905;12.23827119;CADRE_EN_MASSE;OUVRIER_EN_MASSE
VILLEFRANCHE-DE-ROUERGUE;12300;1520;0;1520;;129;0;129;17415;;0;17415;212660;0;-212660;0;11.78294574;11.78294574;0;1590.697674;1590.697674;0;0;14.33333333;-14.33333333;34.4865505;2096;11822;5467;10969;7940;18894;4077;2299;946;832;79.59283787;20.40716213;56.38950208;23.20333579;20.40716213;171;290;571;16.56976744;28.10077519;55.32945736;10969;782;1754;81.22176971;5.790447982;12.9877823;CADRE_EN_MASSE;OUVRIER_EN_MASSE
FOIX;9122;1859;343;1516;;270;56;214;36450;;7560;28890;344105;57804;-286301;6.125;6.885185185;0.760185185;826.875;929.5;102.625;1.800968263;12.4;16.05263158;-3.652631579;34.64664129;2583;9721;4700;9384;6788;19268;3368;1322;1089;956;71.60677161;28.39322839;39.26343926;32.34333234;28.39322839;172;458;588;14.12151067;37.60262726;48.27586207;9384;725;1095;83.7558015;6.470903249;9.773295252;CADRE_EN_MASSE;OUVRIER_EN_MASSE
MAZAMET;81163;2198;791;1407;;143;53;90;19305;;7155;12150;154302;52359;-101943;14.9245283;15.37062937;0.446101069;2014.811321;2075.034965;60.22364428;0.97588717;15;21.7;-6.7;30.46299027;1548;10173;4727;9540;6871;17453;3099;1180;1267;652;78.96095515;21.03904485;38.07679897;40.88415618;21.03904485;205;360;843;14.55965909;25.56818182;59.87215909;9540;419;979;87.21886999;3.830682026;8.95044798;CADRE_EN_MASSE;OUVRIER_EN_MASSE
CASTELNAUDARY;11076;1704;351;1353;;206;114;92;27810;;15390;12420;228470;35308;-193162;3.078947368;8.27184466;5.192897292;415.6578947;1116.699029;701.0411344;2.568955399;21.25;13.71428571;7.535714286;33.88608508;2017;11096;4670;9946;6991;17654;3760;1659;864;1237;67.10106383;32.89893617;44.12234043;22.9787234;32.89893617;188;302;545;18.16425121;29.17874396;52.65700483;9946;566;1576;82.27994705;4.682329583;13.03772336;CADRE_EN_MASSE;OUVRIER_EN_MASSE
FIGEAC;46102;1450;120;1330;;88;13;75;11880;;1755;10125;209888;20304;-189584;9.230769231;16.47727273;7.246503497;1246.153846;2224.431818;978.277972;0.323678161;5.333333333;11;-5.666666667;36.90427699;1925;9820;4732;9128;6708;20304;3624;1949;710;965;73.37196468;26.62803532;53.7803532;19.59161148;26.62803532;210;310;330;24.70588235;36.47058824;38.82352941;9128;825;1383;80.52223006;7.277699365;12.20007057;CADRE_EN_MASSE;OUVRIER_EN_MASSE
